student_id,student_name,class,subject,score,grade,test_date,remarks,_score_imputed,_score_reason,_score_confidence,_grade_imputed,_grade_reason,_grade_confidence,_performance_flag_review
1,Diego,Grade 10,English,85.0,A-,2023-08-08,Excellent,False,,1.0,True,derived_from_score,0.98,False
2,Myra,Grade 8,Maths,75.0,A,2023-04-29,No remarks,False,,1.0,False,,1.0,False
3,Navya,Grade 9,Computer Science,100.0,A,2023-07-26,Average,False,,1.0,False,,1.0,False
4,Krishna,Grade 7,Geography,45.0,C,2023-02-23,Good,False,,1.0,False,,1.0,False
5,Ava,Grade 7,Computer Science,85.0,C,2023-03-31,Needs Improvement,False,,1.0,False,,1.0,False
6,Myra,Grade 9,Science,65.0,C,2023-05-03,Excellent,False,,1.0,False,,1.0,False
7,Anaya,Grade 10,History,55.0,F,2023-05-24,Average,False,,1.0,False,,1.0,False
8,Sara,Grade 8,Math,55.0,A+,2023-08-28,Good,False,,1.0,False,,1.0,False
9,Arjun,Grade 9,Computer Science,65.0,F,2023-05-24,Excellent,False,,1.0,False,,1.0,False
10,Hana,Grade 6,Geography,77.0,B,2023-06-20,Needs Improvement,True,estimated_from_grade_band,0.6,False,,1.0,True
11,Aarav,Grade 9,Geography,75.0,C-,2023-04-23,Excellent,False,,1.0,False,,1.0,False
12,Sai,Grade 7,Geography,100.0,B-,2023-09-20,Average,False,,1.0,False,,1.0,False
13,Aadhya,Grade 7,Art,55.0,A+,2023-05-21,Excellent,False,,1.0,False,,1.0,False
14,Yuki,Grade 7,Math,75.0,C+,2023-01-29,Average,False,,1.0,False,,1.0,False
15,Emma,Grade 10,Geography,75.0,C+,2023-06-01,No remarks,False,,1.0,False,,1.0,False
16,Riya,Grade 9,Geography,95.0,C+,2023-07-24,Needs Improvement,False,,1.0,False,,1.0,False
17,Yuki,Grade 7,English,24.5,F,2023-09-24,Good,True,estimated_from_grade_band,0.6,False,,1.0,True
18,Mohammed,Grade 10,English,100.0,F,2023-04-16,Average,False,,1.0,False,,1.0,False
19,Riya,Grade 8,Physical Education,55.0,C,2023-11-08,Average,False,,1.0,False,,1.0,False
20,Emma,Grade 10,Art,65.0,A+,2023-12-18,Good,False,,1.0,False,,1.0,False
21,Diya,Grade 6,Geography,65.0,F,2023-09-12,Needs Improvement,False,,1.0,False,,1.0,False
22,Aadhya,Grade 6,Computer Science,75.0,F,2023-07-23,Good,False,,1.0,False,,1.0,False
23,Diego,Grade 8,Science,24.5,F,2023-07-31,Average,True,estimated_from_grade_band,0.6,False,,1.0,True
24,Ava,Grade 6,Geography,93.0,A,2023-04-16,No remarks,True,estimated_from_grade_band,0.6,False,,1.0,True
25,Aarav,Grade 10,English,45.0,B-,2023-01-28,Average,False,,1.0,False,,1.0,False
26,Anaya,Grade 7,History,65.0,A-,2023-07-04,Excellent,False,,1.0,False,,1.0,False
27,Riya,Grade 7,Math,55.0,F,2023-08-10,Needs Improvement,False,,1.0,False,,1.0,False
28,Ling,Grade 6,History,85.0,B+,2023-03-22,Good,False,,1.0,False,,1.0,False
29,Emma,Grade 6,History,45.0,A,2023-04-08,No remarks,False,,1.0,False,,1.0,False
30,Chen,Grade 8,Physical Education,67.0,C+,2023-03-19,No remarks,True,estimated_from_grade_band,0.6,False,,1.0,True
31,Hana,Grade 7,English,75.0,F,2023-08-08,Needs Improvement,False,,1.0,False,,1.0,False
32,Ishaan,Grade 8,English,45.0,A-,2023-04-07,Needs Improvement,False,,1.0,False,,1.0,False
33,Diya,Grade 6,Science,54.5,D,2023-05-20,Needs Improvement,True,estimated_from_grade_band,0.6,False,,1.0,True
34,Anaya,Grade 7,Art,85.0,F,2023-09-27,Needs Improvement,False,,1.0,False,,1.0,False
35,Liam,Grade 10,English,85.0,C+,2023-05-06,Needs Improvement,False,,1.0,False,,1.0,False
36,Ishaan,Grade 6,English,45.0,F,2023-04-05,Excellent,False,,1.0,True,derived_from_score,0.98,False
37,Mahi,Grade 6,Computer Science,75.0,C-,2023-01-13,Average,False,,1.0,False,,1.0,False
38,Aarav,Grade 9,Physical Education,95.0,A+,2023-05-02,Excellent,False,,1.0,False,,1.0,False
39,Aadhya,Grade 10,History,72.0,B-,2023-12-28,Average,True,estimated_from_grade_band,0.6,False,,1.0,True
40,Navya,Grade 7,Computer Science,85.0,B,2023-08-18,Excellent,False,,1.0,False,,1.0,False
41,Myra,Grade 8,Computer Science,65.0,A-,2023-05-04,Average,False,,1.0,False,,1.0,False
42,Mahi,Grade 7,Geography,45.0,B,2023-02-17,Needs Improvement,False,,1.0,False,,1.0,False
43,Amina,Grade 6,English,62.0,C,2023-11-13,Needs Improvement,True,estimated_from_grade_band,0.6,False,,1.0,True
44,Yuki,Grade 6,Computer Science,85.0,D,2023-02-07,Excellent,False,,1.0,False,,1.0,False
45,Sophia,Grade 10,History,75.0,A-,2023-01-07,Needs Improvement,False,,1.0,False,,1.0,False
46,Ling,Grade 9,Computer Science,95.0,A+,2023-04-14,No remarks,False,,1.0,False,,1.0,False
47,Emma,Grade 10,Computer Science,65.0,D,2023-07-30,Needs Improvement,False,,1.0,False,,1.0,False
48,Chen,Grade 9,Geography,75.0,B-,2023-02-09,Average,False,,1.0,False,,1.0,False
49,Sofia,Grade 10,Physical Education,75.0,C+,2023-06-30,Needs Improvement,False,,1.0,False,,1.0,False
